"ASV"	"Domain"	"Supergroup"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"ASV212"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Olpidiomycota"	"Olpidiomycetes"	"Olpidiales"	NA	NA	NA
"ASV213"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	NA	NA	NA	NA	NA
"ASV214"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Basidiomycota"	"Cystobasidiomycetes"	NA	NA	NA	NA
"ASV215"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Basidiomycota"	"Agaricomycetes"	NA	NA	NA	NA
"ASV216"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Agaricales"	"Psathyrellaceae"	NA	NA
"ASV217"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Basidiomycota"	NA	NA	NA	NA	NA
"ASV218"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Basidiomycota"	"Tremellomycetes"	"Filobasidiales"	"Filobasidiaceae"	"Naganishia"	"Naganishia_cerealis"
"ASV219"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Polyporales"	"Fomitopsidaceae"	"Fomitopsis"	"Fomitopsis_pinicola"
"ASV220"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Basidiomycota"	"Tremellomycetes"	"Tremellales"	"Tremellaceae"	"Cryptococcus"	"Cryptococcus_laurentii"
"ASV221"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Basidiomycota"	"Cystobasidiomycetes"	"Cystobasidiales"	"Cystobasidiaceae"	"Cystobasidium"	NA
"ASV222"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Basidiomycota"	"Tremellomycetes"	"Filobasidiales"	"Filobasidiaceae"	"Naganishia"	NA
"ASV223"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Basidiomycota"	"Tremellomycetes"	"Tremellales"	NA	NA	NA
"ASV224"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Mucoromycota"	"Mucoromycetes"	"Mucorales"	"Rhizopodaceae"	"Rhizopus"	"Rhizopus_arrhizus"
"ASV225"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Rozellomycota"	NA	NA	NA	NA	NA
"ASV226"	"Eukaryota"	"SAR"	"Rhizaria"	"Cercozoa"	NA	NA	NA	NA	NA
"ASV227"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Sporormiaceae"	NA	NA
"ASV228"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Phaeosphaeriaceae"	NA	NA
"ASV229"	"Eukaryota"	"Opisthokonta"	"Fungi"	NA	NA	NA	NA	NA	NA
"ASV230"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Lecanoromycetes"	"Lecanorales"	"Ramalinaceae"	"Lecania"	NA
"ASV231"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Leotiomycetes"	"Erysiphales"	"Erysiphaceae"	"Blumeria"	"Blumeria_graminis"
"ASV232"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Leotiomycetes"	"Erysiphales"	"Erysiphaceae"	"Blumeria"	NA
"ASV233"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	NA	NA	NA	NA	NA
"ASV234"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Leotiomycetes"	"Helotiales"	"Sclerotiniaceae"	NA	NA
"ASV235"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	NA	NA	NA	NA	NA
"ASV236"	"Eukaryota"	"Opisthokonta"	"Fungi"	NA	NA	NA	NA	NA	NA
"ASV237"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Saccharomycetes"	"Saccharomycetales"	NA	NA	NA
"ASV238"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Saccharomycetes"	"Saccharomycetales"	"Debaryomycetaceae"	"Meyerozyma"	"Meyerozyma_guilliermondii"
"ASV239"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Saccharomycetes"	"Saccharomycetales"	"Debaryomycetaceae"	"Debaryomyces"	"Debaryomyces_hansenii"
